,cik_str,ticker,title,SIC
0,320193,AAPL,Apple Inc.,3571
1,789019,MSFT,MICROSOFT CORP,7372
2,1652044,GOOGL,Alphabet Inc.,7370
3,1018724,AMZN,AMAZON COM INC,5961
4,1045810,NVDA,NVIDIA CORP,3674
5,1318605,TSLA,"Tesla, Inc.",3711
6,1067983,BRK-B,BERKSHIRE HATHAWAY INC,6331
7,1326801,META,"Meta Platforms, Inc.",7370
8,1046179,TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,3674
9,1403161,V,VISA INC.,7389
10,731766,UNH,UNITEDHEALTH GROUP INC,6324
11,824046,LVMUY,LVMH MOET HENNESSY LOUIS VUITTON,2080
12,34088,XOM,EXXON MOBIL CORP,2911
13,59478,LLY,ELI LILLY & Co,2834
14,200406,JNJ,JOHNSON & JOHNSON,2834
15,104169,WMT,Walmart Inc.,5331
16,19617,JPM,JPMORGAN CHASE & CO,6021
17,884394,SPY,SPDR S&P 500 ETF TRUST,
18,1517681,PPCB,"Propanc Biopharma, Inc.",2834
19,353278,NVO,NOVO NORDISK A S,2834
20,1141391,MA,Mastercard Inc,7389
21,80424,PG,PROCTER & GAMBLE Co,2840
22,1730168,AVGO,Broadcom Inc.,3674
23,1545460,OLCLY,"Oriental Land Co., Ltd./ADR",8880
24,93410,CVX,CHEVRON CORP,2911
25,354950,HD,"HOME DEPOT, INC.",5211
26,1341439,ORCL,ORACLE CORP,7372
27,937966,ASML,ASML HOLDING NV,3559
28,310158,MRK,"Merck & Co., Inc.",2834
29,21344,KO,COCA COLA CO,2080
30,77476,PEP,PEPSICO INC,2080
31,1551152,ABBV,AbbVie Inc.,2834
32,70858,BAC,BANK OF AMERICA CORP /DE/,6021
33,1047716,LTMAY,LATAM AIRLINES GROUP S.A.,4512
34,901832,AZN,ASTRAZENECA PLC,2834
35,909832,COST,COSTCO WHOLESALE CORP /NEW,5331
36,1577552,BABA,Alibaba Group Holding Ltd,7389
37,78003,PFE,PFIZER INC,2834
38,1114448,NVS,NOVARTIS AG,2834
39,811809,BHP,BHP Group Ltd,1000
40,796343,ADBE,ADOBE INC.,7372
41,63908,MCD,MCDONALDS CORP,5812
42,1108524,CRM,"Salesforce, Inc.",7372
43,858877,CSCO,"CISCO SYSTEMS, INC.",3576
44,1094517,TM,TOYOTA MOTOR CORP/,3711
45,2488,AMD,ADVANCED MICRO DEVICES INC,3674
46,97745,TMO,THERMO FISHER SCIENTIFIC INC.,3829
47,1306965,SHEL,Shell plc,1311
48,1467373,ACN,Accenture plc,7389
49,1061736,FMX,MEXICAN ECONOMIC DEVELOPMENT INC,2086
